sim,Area_ha,prop_hs
0,20067.23644653747,0.655
0,10085.672151331828,0.655
0,1115.281267315606,0.655
0,977.9120978665535,0.655
0,959.0265460013152,0.655
0,487.0572030684028,0.655
0,416.49357611223235,0.655
0,371.94380741953677,0.655
0,322.62810396303655,0.655
0,277.0075520121629,0.655
0,267.43559697646316,0.655
0,243.87540582948728,0.655
0,229.67670193486708,0.655
0,214.2266979862599,0.655
0,162.70650285425415,0.655
0,129.14670092720905,0.655
0,117.80939998921748,0.655
0,107.62560205550088,0.655
0,103.51553340374305,0.655
0,98.12767599377464,0.655
0,94.40700089529467,0.655
0,86.46082400912064,0.655
0,86.25802498612833,0.655
0,84.49755198983885,0.655
0,81.72000000193044,0.655
0,80.00460198489483,0.655
0,79.92000000134503,0.655
0,69.49522800593228,0.655
0,64.25999999928865,0.655
0,63.288901376167736,0.655
0,62.36999999890588,0.655
0,62.08950287141117,0.655
0,56.13839897958599,0.655
0,54.900000000260775,0.655
0,51.119099983011935,0.655
0,48.86400209804177,0.655
0,45.1878441974785,0.655
0,45.000000000982965,0.655
0,42.75828082910185,0.655
0,41.54535201081337,0.655
0,40.22640397732201,0.655
0,36.630000000168195,0.655
0,36.540000000739845,0.655
0,36.450000000684724,0.655
0,36.00000000083987,0.655
0,32.96767598624549,0.655
0,32.69220000326477,0.655
0,32.664601883252715,0.655
0,32.040000000169876,0.655
0,31.16219999860339,0.655
0,30.240000000630133,0.655
0,29.721000989161784,0.655
0,28.259999999763632,0.655
0,28.169999998891424,0.655
0,27.29100095376405,0.655
0,27.18000000058338,0.655
0,26.460000000274366,0.655
0,26.19000000056252,0.655
0,26.183403020270916,0.655
0,26.009999999521675,0.655
0,25.02000000036061,0.655
0,24.659999999997883,0.655
0,24.300000000347012,0.655
0,20.789400975533486,0.655
0,20.33999999935776,0.655
0,20.119875977233797,0.655
0,19.170000000756236,0.655
0,19.012200008452137,0.655
0,17.999999999421092,0.655
0,17.6400000005167,0.655
0,17.36999999876041,0.655
0,17.032200006792348,0.655
0,16.91999999960214,0.655
0,16.019999999597484,0.655
0,15.930000000336767,0.655
0,14.9400000006279,0.655
0,14.94000000006333,0.655
0,14.579999999845773,0.655
0,14.490000000306592,0.655
0,14.219999999489263,0.655
0,14.129999999595062,0.655
0,14.040000000135974,0.655
0,13.409999999856018,0.655
0,13.229999999574572,0.655
0,13.049999999522045,0.655
0,12.239999999340997,0.655
0,11.340000000476463,0.655
0,11.250000000290571,0.655
0,10.5300000001207,0.655
0,10.349999998524787,0.655
0,10.259999999568612,0.655
0,10.170000000347942,0.655
0,10.08000000013113,0.655
0,9.720000000308827,0.655
0,9.719999999780208,0.655
0,9.26999999955781,0.655
0,9.089999999762513,0.655
0,8.729999999991435,0.655
0,7.56000000094548,0.655
0,7.380000000623986,0.655
0,7.289999999840932,0.655
0,7.200000000387618,0.655
0,7.109999999461882,0.655
0,7.020000000366942,0.655
0,6.75000000015311,0.655
0,6.569999999532664,0.655
0,6.479999999419228,0.655
0,6.39000000024587,0.655
0,6.389999999368006,0.655
0,6.389999999335222,0.655
0,6.300000000147894,0.655
0,6.210000000724942,0.655
0,6.210000000584872,0.655
0,6.120000000330434,0.655
0,6.120000000092202,0.655
0,6.11999999969732,0.655
0,6.029999999997394,0.655
0,6.02999999988489,0.655
0,5.939999999923632,0.655
0,5.850000000998378,0.655
0,5.670000000965224,0.655
0,5.669999999111332,0.655
0,5.580000000540354,0.655
0,5.580000000230224,0.655
0,5.490000000222588,0.655
0,5.489999999749288,0.655
0,5.489999999588728,0.655
0,5.400000000097604,0.655
0,5.399999999768846,0.655
0,5.310000000993162,0.655
0,5.310000000224264,0.655
0,5.220000000266732,0.655
0,5.219999999225326,0.655
0,5.129999999715016,0.655
0,4.949999999974296,0.655
0,4.949999999837578,0.655
0,4.9499999997003,0.655
0,4.860000000979008,0.655
